city_id,country,state,city,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
644,Venezuela (Bolivarian Republic Of),Portuguesa,Acarigua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1343,Malaysia,Perak,Taiping,8,6,1,1,NA,14,NA,1,2,1,NA,NA,NA,487,305,128,896,711,29,35,283,104,5,20,37,44,29,49,NA,NA,5,NA,NA,NA,NA,2,NA,17,NA,16,41,23,106,21,5,1,3,NA,NA,17,4,82
2443,Australia,Tasmania,Hobart,42,27,12,3,12,12,24,6,6,12,45,6,3,6063,3981,345,4236,2892,447,111,1506,606,18,90,168,198,318,303,71193,3,219,39,15,21,15,9,9,6,3,60,141,87,306,225,33,9,21,1224,NA,114,66,165
1960,Chile,Coquimbo Region,La Serena,15,8,2,1,3,1,5,1,1,1,4,2,NA,695,470,59,477,318,50,20,245,76,9,11,43,27,61,62,13120,1,46,11,2,9,4,2,2,1,1,10,20,9,35,32,7,3,2,454,NA,37,4,35
587,Hungary,Hajdú-Bihar,Debrecen,4,6,2,NA,2,2,12,1,NA,NA,4,1,1,495,494,289,383,233,73,10,292,95,7,5,59,36,92,62,31260,1,19,10,6,8,4,2,2,1,1,8,17,13,28,53,4,1,1,500,NA,40,8,30
1073,Russian Federation,Pskov Oblast,Pskov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,292,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,72,46,26677,NA,14,NA,NA,NA,NA,3,3,1,NA,2,NA,8,NA,35,NA,1,NA,NA,NA,NA,NA,8
694,United Arab Emirates,Ajman,Ajman,8,6,3,1,3,1,4,2,1,3,13,1,NA,1090,863,219,762,529,145,74,372,108,10,16,46,39,87,75,20763,NA,62,6,5,9,4,4,5,3,2,7,26,19,24,46,19,5,8,462,NA,102,3,83
85,United States Of America,California,Modesto,18,10,4,1,7,3,6,2,1,2,14,1,1,2360,1737,222,1215,1004,197,55,328,100,11,17,60,59,86,108,21139,1,53,11,9,23,7,3,5,3,1,18,46,27,115,87,9,7,7,384,NA,35,9,152
501,Germany,Thuringia,Erfurt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,175,210,NA,1,NA,NA,5,16,NA,3,3,2,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Italy,Veneto,Padua,63,36,18,3,15,12,27,9,6,9,27,6,3,3921,2799,573,2682,2046,363,147,1116,360,15,33,258,96,357,399,96027,6,159,63,33,33,15,18,9,3,6,69,132,63,405,255,27,6,15,1881,NA,168,18,246
439,Romania,Bihor County,Oradea,9,5,3,1,2,2,5,1,NA,NA,7,1,NA,484,288,104,258,180,59,9,406,85,14,7,55,48,73,102,23820,2,28,5,7,6,4,3,3,1,2,9,13,9,18,24,4,2,1,NA,NA,35,5,33
2469,Germany,Rhineland-Palatinate,Mainz,18,9,4,1,4,2,NA,2,2,1,8,NA,1,1490,1182,217,963,668,116,29,NA,NA,NA,18,96,52,96,126,25010,1,79,NA,NA,NA,3,NA,NA,1,1,26,NA,29,103,NA,8,3,4,NA,NA,47,9,NA
2560,New Zealand,Wellington,Wellington,60,40,16,4,24,16,32,8,8,16,40,8,4,9948,8424,544,6100,5328,424,216,1460,480,40,76,328,220,468,492,110136,4,480,68,36,16,20,16,16,8,8,88,168,88,352,328,40,12,28,2068,NA,156,96,144
1447,Malaysia,Terengganu,Kuala Terengganu,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,330,188,NA,268,157,NA,NA,189,NA,11,3,46,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1719,Vietnam,Quảng Ninh ,Hạ Long,5,3,1,1,1,NA,5,1,1,NA,10,1,NA,480,612,76,NA,NA,NA,7,190,57,NA,5,47,13,66,71,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,2,7,5,NA,22,4,2,1,382,NA,19,1,NA
1456,United States Of America,Washington,Tacoma,40,26,10,2,10,8,14,6,2,8,36,4,4,5044,3450,368,3266,2132,520,114,610,220,36,88,122,100,236,288,50286,2,142,60,22,52,18,10,8,8,4,44,124,56,572,220,26,12,14,1130,NA,106,22,308
