ID number,Degree Program,Year,Dualite,Test 1,Test 2,Coding Test,Lab Attendance,Project Midsem,Project compre,Project Total,Team Number,Midsem Project - Overall Idea (6 marks),Midsem Project - Depth of research and work done? (15 marks),Midsem Project - Are students aware of their own code?  (9 marks),Compre Project - Improvement over Midsem (6 marks),Compre Project - Depth of research and work done? (15 marks),Compre Project - Are students aware of their own code?  (9 marks),T1-LR,T1-Probability,T1-MLE,T1-Applied Regression,T1-Naive Bayes,T1-KNN Code,T2-Perceptron,T2-NN,T2-Gradient Descent,T2-CNN,T2-Proof,T2-Conceptual questions,CT-Conceptual,CT-KNN,CT-Naive bayes,CT-MLE,CT-NN,CT-Backprop,CT-Malpractice
2022B4A30118G,UG,2022,1,0,0,19,0,22,16,66.5,13,4.5,11,6,3,8,5,,,,,,,,,,,,,6,0,4,3,6,0,0
2022B4A30477G,UG,2022,1,28,4,18,10,27,28,96.25,21,5.5,13,8.5,5,14,9,8.5,4.5,4,3,8,,0,3,1,0,0,0,11,0,4,0,3,0,0
2022B4A80969G,UG,2022,1,5,12.5,,3,22,24,80.5,17,2.5,12,7,3,13,8,0,2,0,3,0,0,3,1,8,0,0.5,0,,,,,,,
2022B4A81044G,UG,2022,1,0,7,9,0,18,23,71.75,19,4,8,6,5,11,7,,,,,,,0.5,0.5,6,0,0,0,0,0,4,5,0,0,0
2022B4AA0706G,UG,2022,1,24.75,16.5,8,12,27,28,96.25,21,5.5,13,8.5,5,14,9,7,4.75,3,4,6,0,2.5,5,7,2,0,0,0,0,3,2,3,,0
2022B4AA0710G,UG,2022,1,9.5,0,,0,18,24,73.5,28,3,9,6,4,12,8,3,3,1.5,1,1,0,,,,,,,,,,,,,
2022B4AA0950G,UG,2022,1,23,0,34,7,20,18,66.5,16,3.5,9,7,4,9,5,7.5,1.5,2,3,5,4,,,,,,,12,10,5,3,4,0,0
2022B4AA1006G,UG,2022,1,27.5,12.5,10,12,19,18,64.75,3,4,7,4,4,9,5,6.5,5.5,3,3.5,4,5,3,4,4,0.5,0,1,2,0,5,2,1,0,0
2022B5A81167G,UG,2022,1,0,14.5,,0,28,29,99.75,26,5.5,14,8,6,15,8,,,,,,,0.5,6,8,0,0,0,,,,,,,
2022B5A81544G,UG,2022,1,20.5,0,3,3,20,25,78.75,23,4,10,6,5,13,7,8.5,1,1,2,2,6,,,,,,,1,0,1,0,1,0,0
2023A3PS0183G,UG,2023,0,0,13,6,0,17,18,61.25,4,3,8,6,4,10,4,,,,,,,3,,8,,,2,2,4,0,0,0,0,0
2023A3PS0194G,UG,2023,0,28,13,14,3,27,21,84,29,5.5,13,8,4,12,5,8,7,3,4,0,6,3.5,4.5,5,0,0,0,1,6,0,3,4,0,0
2023A8PS0828G,UG,2023,0,3.25,12,20,2,27,21,84,29,5.5,13,8,4,12,5,2,1.25,,,,,1.5,6,3.5,0,0,1,3,4,3,4,6,0,0
2023A8PS0862G,UG,2023,0,0,6,,0,20,22,72.625,33,4,10,6,1.5,13,7,,,,,,,0,0.5,5,0,0,0.5,,,,,,,
2023AAPS0025G,UG,2023,0,19,19.5,11,5,20,22,72.625,33,4,10,6,1.5,13,7,,6,3,,10,,3.5,7,8,1,,,3,0,5,2,1,0,0
2023AAPS0150G,UG,2023,0,0,20.5,13,3,27,24,89.25,12,5.5,13,8,4,13,7,,,,,,,6.5,6,7.5,0,0,0.5,2,0,3,4,3,1,0
2023AAPS0590G,UG,2023,0,0,13,,0,27,21,84,29,5.5,13,8,4,12,5,,,,,,,6.5,0.5,6,0,0,0,,,,,,,
2023AAPS0607G,UG,2023,0,4,0.5,16,0,27,24,89.25,12,5.5,13,8,4,13,7,2,2,0,0,0,0,0,0,0,0.5,0,0,12,0,0,4,0,0,0
2023AAPS0631G,UG,2023,0,29.5,22.5,4,12,25,21,80.5,10,5,12,8,3,11,7,8,4.5,3,4,10,,10,5.5,7,,,,4,0,0,0,0,0,0
2023AAPS0632G,UG,2023,0,24.5,24.5,15,5,25,21,80.5,10,5,12,8,3,11,7,8.5,6,3,4,3,,10,5.5,8,1,,,3,0,5,2,4,1,0
2025H1230102G,HD,2025,0,21,25,13,8,13,13,45.5,5,2,7,4,1,4,8,4.5,3.5,3,4,1,5,5,8,8,1,,3,12,10,5,5,6,7,1
2025H1230114G,HD,2025,0,14.5,22,39,8,13,13,45.5,5,2,7,4,1,4,8,9,0.5,1,4,,,10,5.5,1,3,1,1.5,12,6,5,4,6,6,0
2025PHXP0035G,PhD,2025,0,16,25.5,17,12,13,15,49,14,5,5,3,1,8,6,0,4,0,3.5,8,0.5,5,9,5,3,2,1.5,12,0,0,3,2,0,0
2025PHXP0407G,PhD,2025,0,5,1.5,2,13,17,18,61.25,14,5,7,5,1,10,7,4,1,,,,,0,0,0,1,0,0.5,1,0,0,1,0,0,0
2025PHXP0410G,PhD,2025,0,4.25,2,4,13,13,15,49,14,5,5,3,1,8,6,1,2.25,,,,1,0.5,0.5,1,0,0,0,2,0,0,2,0,0,0
